Country,Life expectancy ,Alcohol,percentage expenditure, BMI ,Total expenditure,GDP,Income composition of resources,Schooling
Finland,89,8.8,6164.455402,61.7,9.68,49914.61864,0.89,17
Greece,88,7.53,2163.043414,66,8.8,21673.7817,0.862,17.2
Chile,83,7.16,2352.999591,63.1,7.79,14817.37778,0.841,16.2
France,82.2,11.5,6739.677606,62,11.54,42955.24287,0.89,16.2
Israel,82.2,2.62,4348.33531,64.6,7.81,37582.84624,0.895,16
Canada,82,8.1,102.1902168,66.4,1.45,544.43376,0.912,15.9
Costa Rica,79.5,3.45,384.5129138,59.5,9.31,1647.44179,0.768,13.9
Cuba,79,4.37,13.6691019,6.7,11.6,75.5199,0.772,14
Maldives,78.2,0.01,2051.748615,26.2,13.73,7716.2415,0.693,12.7
Qatar,78.1,1.15,5063.513104,68.4,2.19,86852.7119,0.854,13.4
Ukraine,78,8.06,5.663849328,6.7,7.1,314.658296,0.746,15.2
Brunei Darussalam,77.6,0.01,269.1432784,4.2,2.65,4159.8652,0.863,15
Panama,77.6,6.74,1842.463782,57.1,8.3,12593.7374,0.78,13
Albania,77.5,4.51,428.7490668,57.2,5.88,4575.763787,0.761,14.2
Estonia,77.3,0.01,2700.07305,59.4,6.38,19941.45532,0.86,16.5
Bosnia and Herzegovina,77.2,4.03,732.8662491,55.3,9.57,5193.94932,0.742,14.2
United Arab Emirates,76.9,1.91,3862.68271,62.4,3.64,44449.7435,0.832,13.3
Bahrain,76.8,1.57,367.2556742,62.9,4.98,24983.3792,0.82,14.5
Uruguay,76.8,6.03,463.6397821,63.4,8.58,16737.89827,0.791,15.5
Mexico,76.6,5.26,168.173753,62.8,6.3,1452.27766,0.754,13.1
Oman,76.4,0.4,166.1913728,53.5,3.55,2458.45226,0.796,13.7
Antigua and Barbuda,76.2,8.56,2422.999774,47,5.54,12888.29667,0.782,13.9
Argentina,76.2,7.93,847.3717463,62.2,4.79,12245.25645,0.825,17.3
Ecuador,76,3.82,79.11626341,53.5,9.16,6432.216537,0.737,14
Montenegro,75.9,0.01,726.0291764,61.3,6.42,7378.345289,0.803,15.1
China,75.8,5.78,109.8743903,31.9,5.55,7683.5238,0.723,13.1
Jamaica,75.8,3.83,427.3054534,53.5,5.36,4855.743789,0.727,12.8
Turkey,75.5,1.45,181.9083783,65.3,5.41,12127.22522,0.759,14.5
Algeria,75.4,0.01,54.2373183,58.4,7.21,547.8517,0.741,14.4
Barbados,75.4,8.82,294.9056584,53.7,7.47,15359.66971,0.793,15.3
Serbia,75.4,9.09,8.617208431,59.4,1.37,62.173221,0.771,14.3
Peru,75.3,0.01,973.728675,54.9,5.47,6491.5245,0.735,13.4
Tunisia,75.1,1.39,604.8701316,6.2,7,4271.68172,0.722,14.7
Brazil,74.8,7.32,83.16465362,55.3,8.32,1226.61731,0.747,15.2
Lebanon,74.8,1.32,140.3771361,65.4,6.39,8161.4614,0.763,13.3
Malaysia,74.8,0.52,721.3655432,39.5,4.17,11183.96191,0.783,13
Sri Lanka,74.7,2.37,42.7308283,22.7,3.5,382.54994,0.76,14
Armenia,74.6,3.91,295.6087143,54.1,4.48,3994.712355,0.739,12.7
Colombia,74.6,4.38,1435.487755,57.2,7.2,7913.383432,0.72,13.6
Kuwait,74.6,0.01,2480.896965,7.8,3.4,42996.4812,0.787,13
Thailand,74.6,6.41,789.0772949,32.4,4.12,5941.8471,0.737,13.6
Georgia,74.5,6.13,221.482875,55.3,7.42,4429.6575,0.759,13.5
Honduras,74.5,2.87,345.3776344,5.2,8.72,2242.711912,0.618,11.4
Nicaragua,74.5,3.55,473.1238124,53.2,9.4,1975.46477,0.636,11.6
Saudi Arabia,74.4,0.09,2017.643131,67.3,4.68,24575.434,0.841,15.8
Mauritius,74.2,0.01,115.2784282,32.8,4.81,1153.93822,0.769,14.7
Morocco,74.1,0.43,198.7343495,57.5,5.91,3154.513484,0.64,12.1
Jordan,74,0.41,63.8784522,64.8,7.45,466.94775,0.737,13.1
Paraguay,73.9,0.01,561.7684701,49.4,9.81,4712.822736,0.688,12.3
Samoa,73.8,0.01,660.2777923,74.3,7.22,4178.973369,0.701,12.9
Dominican Republic,73.6,5.92,1088.244952,57.9,4.38,6268.692122,0.712,13.2
Grenada,73.5,8.42,789.2764615,47.4,6.1,8569.776998,0.749,15.8
El Salvador,73.3,2.52,665.7260253,55.4,6.77,3988.771871,0.676,13.2
Tonga,73.3,0.01,565.9672173,74.8,5.18,4192.349758,0.716,14.3
Cabo Verde,73,0.01,414.0242418,3.5,4.76,3529.61843,0.643,13.5
Russian Federation,73,10.12,1340.553699,59.9,7.7,14125.961,0.803,14.9
Seychelles,73,0.01,151.1045552,36.2,3.37,1557.77892,0.766,13.2
Azerbaijan,72.5,0.01,306.1824313,51.5,6.4,7891.299776,0.752,12.2
Belarus,72,13.94,1147.1114,61.7,5.69,8318.429294,0.796,15.7
Guatemala,71.7,1.88,657.5282797,49.9,6.2,3687.763767,0.614,10.7
Vanuatu,71.7,0.01,564.8167043,52.5,5.2,3148.36513,0.596,10.8
Bangladesh,71.4,0.01,10.44640334,17.7,2.82,184.56543,0.57,10
Suriname,71.4,6.32,1132.432517,57.7,5.69,9564.46383,0.722,12.7
Trinidad and Tobago,71.1,6.94,1578.872339,46,5.93,19325.24283,0.778,12.7
Belize,70,6.58,670.0920883,5.1,5.79,4852.223666,0.705,12.8
Kazakhstan,69.9,6.29,24.44473709,52.3,4.36,1286.56511,0.789,15
Fiji,69.7,0.01,50.539484,61.9,4.49,546.3728,0.727,15.2
Nepal,69.6,0.01,8.523486403,18.5,5.8,76.2386977,0.551,12.4
Tajikistan,69.6,0.01,7.829008596,39.9,6.88,114.45919,0.622,11.3
Bhutan,69.4,0.01,209.3921344,23.6,3.57,2522.7968,0.596,12.5
Uzbekistan,69.2,0.01,0.442802404,43.9,5.84,25.448414,0.69,12.1
Indonesia,68.9,0.09,200.0684443,26.5,2.85,3491.595887,0.682,12.9
Solomon Islands,68.8,0.01,3.718438799,49.7,5.5,29.652622,0.512,9.6
Mongolia,68.4,0.01,281.0023992,51.5,4.73,4181.583321,0.729,14.8
Philippines,68.4,4.52,31.27232188,24.8,4.71,2842.938353,0.676,11.7
Cambodia,68.3,0.01,12.17952064,18.9,5.68,198.687123,0.553,10.9
India,68,3.07,86.52153895,18.1,4.69,1573.11889,0.607,11.6
Timor-Leste,68,0.01,28.14578503,17,1.48,1153.51578,0.612,12.5
